mirna;mrna
hsa-miR-5697;PLEKHA1
hsa-miR-7157-5p;PLEKHA1
hsa-miR-371a-5p;PLEKHA1
hsa-miR-372-5p;PLEKHA1
hsa-miR-373-5p;PLEKHA1
hsa-miR-616-5p;PLEKHA1
hsa-miR-630;PLEKHA1
hsa-miR-371b-5p;PLEKHA1
hsa-miR-6883-3p;PLEKHA1
hsa-miR-15a-5p;PLEKHA1
hsa-miR-16-5p;PLEKHA1
hsa-miR-103a-3p;PLEKHA1
hsa-miR-107;PLEKHA1
hsa-miR-15b-5p;PLEKHA1
hsa-miR-195-5p;PLEKHA1
hsa-miR-424-5p;PLEKHA1
hsa-miR-497-5p;PLEKHA1
hsa-miR-3607-5p;PLEKHA1
hsa-miR-4524a-5p;PLEKHA1
hsa-miR-5197-5p;PLEKHA1
hsa-miR-4524b-5p;PLEKHA1
hsa-miR-6838-5p;PLEKHA1
hsa-let-7e-3p;PLEKHA1
hsa-miR-545-3p;PLEKHA1
hsa-miR-570-5p;PLEKHA1
hsa-miR-3148;PLEKHA1
hsa-miR-548ag;PLEKHA1
hsa-miR-548ai;PLEKHA1
hsa-miR-4477a;PLEKHA1
hsa-miR-4678;PLEKHA1
hsa-miR-548ba;PLEKHA1
hsa-miR-3973;PLEKHA1
hsa-miR-124-5p;PLEKHA1
hsa-miR-3607-3p;PLEKHA1
hsa-miR-1206;PLEKHA1
hsa-miR-3650;PLEKHA1
hsa-miR-7154-5p;PLEKHA1
hsa-miR-411-5p;PLEKHA1
hsa-miR-520h;PLEKHA1
hsa-miR-520g-3p;PLEKHA1
hsa-miR-4272;PLEKHA1
hsa-miR-4470;PLEKHA1
hsa-miR-548o-3p;PLEKHA1
hsa-miR-1323;PLEKHA1
hsa-miR-1278;PLEKHA1
hsa-miR-646;PLEKHA1
hsa-miR-503-5p;PLEKHA1
hsa-miR-1183;PLEKHA1
hsa-miR-101-3p;PLEKHA1
hsa-miR-433-3p;PLEKHA1
hsa-miR-6853-3p;PLEKHA1
hsa-miR-4455;PLEKHA1
hsa-miR-8060;PLEKHA1
hsa-miR-514b-5p;PLEKHA1
hsa-miR-513c-5p;PLEKHA1
hsa-miR-454-5p;PLEKHA1
hsa-miR-6866-3p;PLEKHA1
hsa-miR-188-5p;PLEKHA1
hsa-miR-6513-5p;PLEKHA1
hsa-miR-887-5p;PLEKHA1
hsa-miR-3913-5p;PLEKHA1
hsa-miR-3122;PLEKHA1
hsa-miR-450a-1-3p;PLEKHA1
hsa-miR-6780a-5p;PLEKHA1
hsa-miR-6779-5p;PLEKHA1
hsa-miR-3689c;PLEKHA1
hsa-miR-3689b-3p;PLEKHA1
hsa-miR-3689a-3p;PLEKHA1
hsa-miR-30b-3p;PLEKHA1
hsa-miR-1273h-5p;PLEKHA1
hsa-miR-6788-5p;PLEKHA1
hsa-miR-30c-2-3p;PLEKHA1
hsa-miR-30c-1-3p;PLEKHA1
hsa-miR-7977;PLEKHA1
hsa-miR-4483;PLEKHA1
hsa-miR-1293;PLEKHA1
hsa-miR-6766-5p;PLEKHA1
hsa-miR-6756-5p;PLEKHA1
hsa-miR-6745;PLEKHA1
hsa-miR-363-5p;PLEKHA1
hsa-miR-6799-5p;PLEKHA1
hsa-miR-6883-5p;PLEKHA1
hsa-miR-6785-5p;PLEKHA1
hsa-miR-4728-5p;PLEKHA1
hsa-miR-149-3p;PLEKHA1
hsa-miR-7106-5p;PLEKHA1
hsa-miR-6884-5p;PLEKHA1
hsa-miR-485-5p;PLEKHA1
hsa-miR-1273f;PLEKHA1
hsa-miR-4708-5p;PLEKHA1
hsa-miR-6088;PLEKHA1
hsa-miR-4770;PLEKHA1
hsa-miR-143-3p;PLEKHA1
hsa-miR-383-3p;PLEKHA1
hsa-miR-4478;PLEKHA1
hsa-miR-4419b;PLEKHA1
hsa-miR-3929;PLEKHA1
